0 0 19.03 6167.156 99.612 -O0 W 
1 0 152.01 39928.326 99.796 -O0 A 
2 0 665.95 153296.718 99.81 -O0 B 
3 0 2800.23 595084.891 99.821 -O0 C 
0 0 8.576 6094.24 99.318 -O1 W 
1 0 69.764 39936.0 99.764 -O1 A 
2 0 352.542 153453.964 99.815 -O1 B 
3 0 1339.42 595132.392 99.825 -O1 C 
0 0 8.474 6095.68 99.433 -O2 W 
1 0 82.752 39936.0 99.765 -O2 A 
2 0 313.976 153488.841 99.815 -O2 B 
3 0 1332.06 595271.069 99.833 -O2 C 
0 0 7.772 6123.6 99.425 -O3 W 
1 0 69.102 39936.0 99.779 -O3 A 
2 0 331.166 153573.506 99.815 -O3 B 
3 0 1301.15 595310.385 99.824 -O3 C
